sample_label,async_total_ms,sync_total_ms,async_full_prefill_ms,async_incremental_prefill_ms,async_semi_prefill_ms,async_decode_ms,sync_full_prefill_ms,sync_incremental_prefill_ms,sync_semi_prefill_ms,sync_summary_prefill_ms,sync_summary_decode_ms,sync_decode_ms,async_overhead_pct,sync_overhead_pct
C0,22021.15,53079.850000000006,3975.5,4751.950000000001,1593.6999999999998,11700.0,3975.5,4751.950000000001,1593.6999999999998,6518.7,24540.0,11700.0,7.801756949594784,159.8456978232721
C1,22035.25,46891.0,3954.35,4742.049999999999,1506.85,11832.0,3954.35,4742.049999999999,1506.85,7275.75,17580.0,11832.0,7.340318777888193,128.4201399037431
C197,19492.449999999997,49966.0,3971.45,4711.15,1557.85,9252.0,3971.45,4711.15,1557.85,6533.549999999999,23940.0,9252.0,8.686282381541824,178.6011396964527
C198,20935.899999999998,35410.75,3974.6,4700.349999999999,1376.9499999999998,10884.0,3974.6,4700.349999999999,1376.9499999999998,6038.85,8436.0,10884.0,7.039999590980088,81.04627293387428
C199,29335.3,55608.4,3968.8999999999996,4788.55,1509.85,19068.0,3968.8999999999996,4788.55,1509.85,6497.1,19776.0,19068.0,5.426147645410945,99.84726212873467
C2,21877.899999999998,45919.0,3960.7999999999997,3487.75,1889.35,12540.0,3960.7999999999997,3487.75,1889.35,6233.1,17808.0,12540.0,9.452161362379963,129.72651843180222
V125,21116.95,36482.5,3978.95,5003.35,1358.65,10776.0,3978.95,5003.35,1358.65,7013.549999999999,8352.0,10776.0,6.876350698187597,84.64392179489126
V174,25052.95,51206.5,3972.2,4736.2,1524.55,14820.0,3972.2,4736.2,1524.55,5909.549999999999,20244.0,14820.0,6.479616123493309,117.63698339028576
V184,24074.8,50033.65,3972.6499999999996,4751.65,1502.4999999999998,13848.0,3972.6499999999996,4751.65,1502.4999999999998,6410.85,19548.0,13848.0,6.656388582466119,121.65951187960464
V196,22286.05,49995.7,3965.6,4301.199999999999,1671.25,12348.0,3965.6,4301.199999999999,1671.25,6037.65,21672.0,12348.0,8.107039602615597,142.5233327512273
