sample_id,sample_label,run_name,event,turn,step,A,B1,B2,C1,B2_C1,pre_prompt_tokens,post_prompt_tokens,semi_prefill_ms,summary_prefill_ms,summary_decode_ms,summary_generation_time_s,token_saving_pct
multi_turn_long_context_0,C0,continue6_llama_twocompress_t14_g2600_20260506,1,2,0,0.0,23274.0,698.0,2925.0,3623.0,26199.0,3623.0,563.4499999999999,3491.1,8376.0,77.211,86.17122790946219
multi_turn_long_context_0,C0,continue6_llama_twocompress_t14_g2600_20260506,2,10,0,0.0,20184.0,1347.0,5388.0,6735.0,25572.0,6735.0,1030.25,3027.6,16164.0,142.59,73.66259971844204
multi_turn_long_context_1,C1,continue6_llama_twocompress_t14_g2600_20260506,1,2,0,0.0,25697.0,497.0,2928.0,3425.0,28625.0,3425.0,533.75,3854.5499999999997,5964.0,70.108,88.0349344978166
multi_turn_long_context_1,C1,continue6_llama_twocompress_t14_g2600_20260506,2,11,0,0.0,22808.0,968.0,5386.0,6354.0,28194.0,6354.0,973.0999999999999,3421.2,11616.0,98.746,77.46329006171526
multi_turn_long_context_197,C197,continue6_llama_twocompress_t14_g2600_20260506,1,2,0,0.0,23598.0,907.0,2744.0,3651.0,26343.0,3651.0,567.65,3539.7,10884.0,118.325,86.14053069126523
multi_turn_long_context_197,C197,continue6_llama_twocompress_t14_g2600_20260506,2,10,0,0.0,19959.0,1088.0,5380.0,6468.0,25339.0,6468.0,990.1999999999999,2993.85,13056.0,132.283,74.47413078653459
multi_turn_long_context_198,C198,continue6_llama_twocompress_t14_g2600_20260506,1,1,0,0.0,20730.0,374.0,2821.0,3195.0,23552.0,3195.0,499.25,3109.5,4488.0,32.325,86.4342730978261
multi_turn_long_context_198,C198,continue6_llama_twocompress_t14_g2600_20260506,2,9,0,0.0,19529.0,329.0,5389.0,5718.0,24918.0,5718.0,877.6999999999999,2929.35,3948.0,24.0,77.05273296412231
multi_turn_long_context_199,C199,continue6_llama_twocompress_t14_g2600_20260506,1,1,0,0.0,22884.0,305.0,2759.0,3064.0,25644.0,3064.0,479.59999999999997,3432.6,3660.0,31.477,88.05178599282483
multi_turn_long_context_199,C199,continue6_llama_twocompress_t14_g2600_20260506,2,9,0,0.0,20430.0,1343.0,5392.0,6735.0,25822.0,6735.0,1030.25,3064.5,16116.0,158.342,73.91758965223453
multi_turn_long_context_2,C2,continue6_llama_twocompress_t14_g2600_20260506,1,2,0,0.0,21541.0,447.0,5462.0,5909.0,27003.0,5909.0,906.35,3231.15,5364.0,59.087,78.11724623190017
multi_turn_long_context_2,C2,continue6_llama_twocompress_t14_g2600_20260506,2,9,0,0.0,20013.0,1037.0,5383.0,6420.0,25396.0,6420.0,983.0,3001.95,12444.0,112.313,74.72042841392346
multi_turn_long_context_125,V125,validate_llama_125_twocompress_t14_g2600_20260506,1,1,0,0.0,25352.0,350.0,2705.0,3055.0,28058.0,3055.0,478.25,3802.7999999999997,4200.0,35.551,89.11183976049611
multi_turn_long_context_125,V125,validate_llama_125_twocompress_t14_g2600_20260506,2,9,0,0.0,21405.0,346.0,5390.0,5736.0,26795.0,5736.0,880.4,3210.75,4152.0,25.282,78.59302108602351
multi_turn_long_context_174,V174,validate_llama_174_twocompress_t14_g2600_20260506,1,1,0,0.0,20605.0,391.0,2832.0,3223.0,23438.0,3223.0,503.45,3090.75,4692.0,34.447,86.24882669169725
multi_turn_long_context_174,V174,validate_llama_174_twocompress_t14_g2600_20260506,2,8,0,0.0,18792.0,1296.0,5378.0,6674.0,24170.0,6674.0,1021.0999999999999,2818.7999999999997,15552.0,109.574,72.38725693007862
multi_turn_long_context_184,V184,validate_llama_184_twocompress_t14_g2600_20260506,1,1,0,0.0,22746.0,315.0,2732.0,3047.0,25479.0,3047.0,477.05,3411.9,3780.0,32.399,88.04113191255544
multi_turn_long_context_184,V184,validate_llama_184_twocompress_t14_g2600_20260506,2,9,0,0.0,19993.0,1314.0,5389.0,6703.0,25382.0,6703.0,1025.4499999999998,2998.95,15768.0,101.702,73.59152155070522
multi_turn_long_context_196,V196,validate_llama_196_twocompress_t14_g2600_20260506,1,1,1,0.0,20675.0,548.0,3700.0,4248.0,24375.0,4248.0,657.1999999999999,3101.25,6576.0,71.937,82.57230769230769
multi_turn_long_context_196,V196,validate_llama_196_twocompress_t14_g2600_20260506,2,8,0,0.0,19576.0,1258.0,5369.0,6627.0,24945.0,6627.0,1014.05,2936.4,15096.0,157.195,73.43355381840048
