sample_id,sample_label,run_name,active,rounds,steps,n_compressions,compression_rate,first_context,max_context,accumulated_context,context_multiplier,output_tokens,timing_total_ms,classification_counts,delta_median,delta_mean,delta_min,delta_max,config,score_valid,score,error_type,baseline_ms,async_overhead_pct,sync_overhead_pct
multi_turn_long_context_0,C0,continue6_llama_twocompress_t14_g2600_20260506,True,14,23,2,0.14285714285714285,26370.0,29561.0,480727.0,18.230072051573757,975.0,353753.36999999994,"{""full_prefill"": 1, ""incremental"": 20, ""semi_prefill"": 2}",2717.0,2746.6363636363635,2688.0,2917.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",,,,20427.45,7.801756949594784,159.8456978232721
multi_turn_long_context_1,C1,continue6_llama_twocompress_t14_g2600_20260506,True,14,23,2,0.14285714285714285,26229.0,29317.0,425108.0,16.207556521407604,986.0,346271.36999999994,"{""full_prefill"": 1, ""incremental"": 20, ""semi_prefill"": 2}",2715.0,2740.6363636363635,2713.0,2934.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",,,,20528.4,7.340318777888193,128.4201399037431
multi_turn_long_context_197,C197,continue6_llama_twocompress_t14_g2600_20260506,True,14,17,2,0.14285714285714285,26343.0,29428.0,355396.0,13.491098204456591,771.0,271716.00999999995,"{""full_prefill"": 1, ""incremental"": 14, ""semi_prefill"": 2}",2709.0,2721.909090909091,2707.0,2834.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",,,,17934.6,8.686282381541824,178.6011396964527
multi_turn_long_context_198,C198,continue6_llama_twocompress_t14_g2600_20260506,True,14,19,2,0.14285714285714285,26364.0,29158.0,412130.0,15.632301623425883,907.0,323080.13,"{""full_prefill"": 1, ""incremental"": 16, ""semi_prefill"": 2}",2716.0,2715.3636363636365,2714.0,2716.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",,,,19558.949999999997,7.039999590980088,81.04627293387428
multi_turn_long_context_199,C199,continue6_llama_twocompress_t14_g2600_20260506,True,14,25,2,0.14285714285714285,26326.0,28934.0,426076.0,16.184608371951683,1589.0,344415.95000000007,"{""full_prefill"": 1, ""incremental"": 22, ""semi_prefill"": 2}",2719.0,2768.818181818182,2697.0,2927.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",,,,27825.45,5.426147645410945,99.84726212873467
multi_turn_long_context_2,C2,continue6_llama_twocompress_t14_g2600_20260506,True,11,19,2,0.18181818181818182,26272.0,29366.0,394545.0,15.01769945188794,1045.0,313462.09,"{""full_prefill"": 1, ""incremental"": 16, ""semi_prefill"": 2}",2752.0,2773.125,2708.0,2902.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",,,,19988.55,9.452161362379963,129.72651843180222
multi_turn_long_context_125,V125,validate_llama_125_twocompress_t14_g2600_20260506,True,14,20,2,0.14285714285714285,26393.0,30411.0,363145.0,13.759140681241238,898.0,273056.23000000004,"{""full_prefill"": 1, ""incremental"": 17, ""semi_prefill"": 2}",2717.0,2899.0,2715.0,4416.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",False,0,multi_turn:empty_turn_model_response,19758.3,6.876350698187597,84.64392179489126
multi_turn_long_context_174,V174,validate_llama_174_twocompress_t14_g2600_20260506,True,14,25,2,0.14285714285714285,26348.0,28421.0,500044.0,18.9784423865189,1235.0,365494.37,"{""full_prefill"": 1, ""incremental"": 22, ""semi_prefill"": 2}",2704.0,2737.090909090909,2689.0,2946.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",False,0,multi_turn:instance_state_mismatch,23528.4,6.479616123493309,117.63698339028576
multi_turn_long_context_184,V184,validate_llama_184_twocompress_t14_g2600_20260506,True,14,23,2,0.14285714285714285,26351.0,28576.0,414147.0,15.71655724640431,1154.0,311950.30999999994,"{""full_prefill"": 1, ""incremental"": 20, ""semi_prefill"": 2}",2716.0,2746.4545454545455,2693.0,2829.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",False,0,multi_turn:execution_response_mismatch,22572.3,6.656388582466119,121.65951187960464
multi_turn_long_context_196,V196,validate_llama_196_twocompress_t14_g2600_20260506,True,14,23,2,0.14285714285714285,26304.0,29383.0,467882.0,17.78748479318735,1029.0,354271.03,"{""full_prefill"": 1, ""incremental"": 20, ""semi_prefill"": 2}",2694.0,2473.4545454545455,0.0,2839.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2600, ""summary_max_tokens"": 1024, ""source"": ""run_config.json""}",False,0,multi_turn:instance_state_mismatch,20614.8,8.107039602615597,142.5233327512273
