sample_id,sample_label,run_name,compression_index,turn,step,pre_prompt_tokens,post_prompt_tokens,A_tokens,B1_tokens,B2_tokens,C1_tokens,B2_plus_C1_tokens,B2_over_B1,token_saving_pct,summary_generation_time_s
multi_turn_long_context_0,C0,continue6_llama_twocompress_t14_g2600_20260506,1,2,0,26199.0,3623.0,0.0,23274.0,698.0,2925.0,3623.0,0.029990547391939505,86.17122790946219,77.211
multi_turn_long_context_0,C0,continue6_llama_twocompress_t14_g2600_20260506,2,10,0,25572.0,6735.0,0.0,20184.0,1347.0,5388.0,6735.0,0.06673602853745542,73.66259971844204,142.59
multi_turn_long_context_1,C1,continue6_llama_twocompress_t14_g2600_20260506,1,2,0,28625.0,3425.0,0.0,25697.0,497.0,2928.0,3425.0,0.019340779079269954,88.0349344978166,70.108
multi_turn_long_context_1,C1,continue6_llama_twocompress_t14_g2600_20260506,2,11,0,28194.0,6354.0,0.0,22808.0,968.0,5386.0,6354.0,0.04244124868467204,77.46329006171526,98.746
multi_turn_long_context_197,C197,continue6_llama_twocompress_t14_g2600_20260506,1,2,0,26343.0,3651.0,0.0,23598.0,907.0,2744.0,3651.0,0.038435460632256974,86.14053069126523,118.325
multi_turn_long_context_197,C197,continue6_llama_twocompress_t14_g2600_20260506,2,10,0,25339.0,6468.0,0.0,19959.0,1088.0,5380.0,6468.0,0.05451174908562553,74.47413078653459,132.283
multi_turn_long_context_198,C198,continue6_llama_twocompress_t14_g2600_20260506,1,1,0,23552.0,3195.0,0.0,20730.0,374.0,2821.0,3195.0,0.018041485769416304,86.4342730978261,32.325
multi_turn_long_context_198,C198,continue6_llama_twocompress_t14_g2600_20260506,2,9,0,24918.0,5718.0,0.0,19529.0,329.0,5389.0,5718.0,0.01684674074453377,77.05273296412231,24.0
multi_turn_long_context_199,C199,continue6_llama_twocompress_t14_g2600_20260506,1,1,0,25644.0,3064.0,0.0,22884.0,305.0,2759.0,3064.0,0.013328089494843558,88.05178599282483,31.477
multi_turn_long_context_199,C199,continue6_llama_twocompress_t14_g2600_20260506,2,9,0,25822.0,6735.0,0.0,20430.0,1343.0,5392.0,6735.0,0.06573666177190406,73.91758965223453,158.342
multi_turn_long_context_2,C2,continue6_llama_twocompress_t14_g2600_20260506,1,2,0,27003.0,5909.0,0.0,21541.0,447.0,5462.0,5909.0,0.020751125760178266,78.11724623190017,59.087
multi_turn_long_context_2,C2,continue6_llama_twocompress_t14_g2600_20260506,2,9,0,25396.0,6420.0,0.0,20013.0,1037.0,5383.0,6420.0,0.05181631939239494,74.72042841392346,112.313
multi_turn_long_context_125,V125,validate_llama_125_twocompress_t14_g2600_20260506,1,1,0,28058.0,3055.0,0.0,25352.0,350.0,2705.0,3055.0,0.01380561691385295,89.11183976049611,35.551
multi_turn_long_context_125,V125,validate_llama_125_twocompress_t14_g2600_20260506,2,9,0,26795.0,5736.0,0.0,21405.0,346.0,5390.0,5736.0,0.016164447558981547,78.59302108602351,25.282
multi_turn_long_context_174,V174,validate_llama_174_twocompress_t14_g2600_20260506,1,1,0,23438.0,3223.0,0.0,20605.0,391.0,2832.0,3223.0,0.018975976704683328,86.24882669169725,34.447
multi_turn_long_context_174,V174,validate_llama_174_twocompress_t14_g2600_20260506,2,8,0,24170.0,6674.0,0.0,18792.0,1296.0,5378.0,6674.0,0.06896551724137931,72.38725693007862,109.574
multi_turn_long_context_184,V184,validate_llama_184_twocompress_t14_g2600_20260506,1,1,0,25479.0,3047.0,0.0,22746.0,315.0,2732.0,3047.0,0.013848588762859404,88.04113191255544,32.399
multi_turn_long_context_184,V184,validate_llama_184_twocompress_t14_g2600_20260506,2,9,0,25382.0,6703.0,0.0,19993.0,1314.0,5389.0,6703.0,0.06572300305106787,73.59152155070522,101.702
multi_turn_long_context_196,V196,validate_llama_196_twocompress_t14_g2600_20260506,1,1,1,24375.0,4248.0,0.0,20675.0,548.0,3700.0,4248.0,0.026505441354292624,82.57230769230769,71.937
multi_turn_long_context_196,V196,validate_llama_196_twocompress_t14_g2600_20260506,2,8,0,24945.0,6627.0,0.0,19576.0,1258.0,5369.0,6627.0,0.06426236207601144,73.43355381840048,157.195
