sample_id,sample_label,run_name,rounds,steps,compressions,compression_per_round,first_context_tokens,max_context_tokens,accumulated_context_tokens,context_vs_single_round,additional_prefill_tokens,additional_prefill_share_pct,timing_total_s,summary_generation_s,score_valid,score,error_type,tool_calls,has_trace,has_prompt_log,has_checkpoint
multi_turn_long_context_0,C0,continue6_llama_twocompress_t14_g2600_20260506,14,23,2,0.14285714285714285,26370.0,29561.0,480727.0,18.230072051573757,10358.0,2.154653264742775,353.75336999999996,219.801,,,,,True,True,False
multi_turn_long_context_1,C1,continue6_llama_twocompress_t14_g2600_20260506,14,23,2,0.14285714285714285,26229.0,29317.0,425108.0,16.207556521407604,9779.0,2.3003566152601223,346.27137000000005,168.85399999999998,,,,,True,True,False
multi_turn_long_context_197,C197,continue6_llama_twocompress_t14_g2600_20260506,14,17,2,0.14285714285714285,26343.0,29428.0,355396.0,13.491098204456591,10119.0,2.8472464518452654,271.7160099999999,250.608,,,,,True,True,False
multi_turn_long_context_198,C198,continue6_llama_twocompress_t14_g2600_20260506,14,19,2,0.14285714285714285,26364.0,29158.0,412130.0,15.632301623425883,8913.0,2.162667119598185,323.08013,56.325,,,,,True,True,False
multi_turn_long_context_199,C199,continue6_llama_twocompress_t14_g2600_20260506,14,25,2,0.14285714285714285,26326.0,28934.0,426076.0,16.184608371951683,9799.0,2.2998244444653064,344.41595000000007,189.81900000000002,,,,,True,True,False
multi_turn_long_context_2,C2,continue6_llama_twocompress_t14_g2600_20260506,11,19,2,0.18181818181818182,26272.0,29366.0,394545.0,15.01769945188794,12329.0,3.124865351227363,313.4620900000001,171.4,,,,,True,True,True
multi_turn_long_context_125,V125,validate_llama_125_twocompress_t14_g2600_20260506,14,20,2,0.14285714285714285,26393.0,30411.0,363145.0,13.759140681241238,8791.0,2.420796100731113,273.05623,60.833,False,0,multi_turn:empty_turn_model_response,6,True,True,False
multi_turn_long_context_174,V174,validate_llama_174_twocompress_t14_g2600_20260506,14,25,2,0.14285714285714285,26348.0,28421.0,500044.0,18.9784423865189,9897.0,1.9792258281271249,365.49437000000006,144.02100000000002,False,0,multi_turn:instance_state_mismatch,11,True,True,False
multi_turn_long_context_184,V184,validate_llama_184_twocompress_t14_g2600_20260506,14,23,2,0.14285714285714285,26351.0,28576.0,414147.0,15.71655724640431,9750.0,2.354236539199849,311.95031,134.101,False,0,multi_turn:execution_response_mismatch,9,True,True,False
multi_turn_long_context_196,V196,validate_llama_196_twocompress_t14_g2600_20260506,14,23,2,0.14285714285714285,26304.0,29383.0,467882.0,17.78748479318735,10875.0,2.3243039911772625,354.2710300000001,229.132,False,0,multi_turn:instance_state_mismatch,9,True,True,False
